folder,file_name,repetition,path,direction,walking,forward,reverse,sd_su,sd,su,handwave
03.03.2018\One robot standing still,0303-A1F-SU2-1,1,A1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A1F-SU2-2,2,A2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A1F-SU2-3,3,A3,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A1F-SU2-4,4,A4,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A1F-SU2-5,5,A5,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A1F-SU2-6,6,A6,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A1F-SU2-7,7,A7,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A1F-SU2-8,8,A8,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A1F-SU2-9,9,A9,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A1F-SU2-10,10,A10,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A1R-SU2-1,1,A1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A1R-SU2-2,2,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A1R-SU2-3,3,A3,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A1R-SU2-4,4,A4,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A1R-SU2-5,5,A5,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A1R-SU2-6,6,A6,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A1R-SU2-7,7,A7,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A1R-SU2-8,8,A8,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A1R-SU2-9,9,A9,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A1R-SU2-10,10,A10,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A2F-SU2-1,1,A2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A2F-SU2-2,2,A2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A2F-SU2-3,3,A2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A2F-SU2-4,4,A2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A2F-SU2-5,5,A2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A2F-SU2-6,6,A2,F,1,1,0,su,0,1,0
