folder,file_name,repetition,path,direction,walking,forward,reverse,sd,su,handwave
03.03.2018/Two different actions,0303_A1F_HW2_1,1,A1,F,1,1,0,0,0,1
03.03.2018/Two different actions,0303_A1F_HW2_2,2,A1,F,1,1,0,0,0,1
03.03.2018/Two different actions,0303_A1F_HW2_3,3,A1,F,1,1,0,0,0,1
03.03.2018/Two different actions,0303_A1F_HW2_4,4,A1,F,1,1,0,0,0,1
03.03.2018/Two different actions,0303_A1F_HW2_5,5,A1,F,1,1,0,0,0,1
03.03.2018/Two different actions,0303_A1F_HW2_6,6,A1,F,1,1,0,0,0,1
03.03.2018/Two different actions,0303_A1F_HW2_7,7,A1,F,1,1,0,0,0,1
03.03.2018/Two different actions,0303_A1F_HW2_8,8,A1,F,1,1,0,0,0,1
03.03.2018/Two different actions,0303_A1F_HW2_9,9,A1,F,1,1,0,0,0,1
03.03.2018/Two different actions,0303_A1F_HW2_10,10,A1,F,1,1,0,0,0,1
03.03.2018/Two different actions,0303_SU1_SD2_1,1,none,none,0,0,0,1,1,0
03.03.2018/Two different actions,0303_SU1_SD2_2,2,none,none,0,0,0,1,1,0
03.03.2018/Two different actions,0303_SU1_SD2_3,3,none,none,0,0,0,1,1,0
03.03.2018/Two different actions,0303_SU1_SD2_4,4,none,none,0,0,0,1,1,0
03.03.2018/Two different actions,0303_SU1_SD2_5,5,none,none,0,0,0,1,1,0
03.03.2018/Two different actions,0303_SU1_SD2_6,6,none,none,0,0,0,1,1,0
03.03.2018/Two different actions,0303_SU1_SD2_7,7,none,none,0,0,0,1,1,0
03.03.2018/Two different actions,0303_SU1_SD2_8,8,none,none,0,0,0,1,1,0
03.03.2018/Two different actions,0303_SU1_SD2_9,9,none,none,0,0,0,1,1,0
03.03.2018/Two different actions,0303_SU1_SD2_10,10,none,none,0,0,0,1,1,0
